Title,Company,Location,Job URL
Data Analyst - Marketplace Product,Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-marketplace-product-at-shopee-4139587015?position=1&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=tqzBB9kVYo6OHkWb3bbdag%3D%3D
"Junior Data Analyst - Business Intelligence, Regional Operations",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-business-intelligence-regional-operations-at-shopee-3727428385?position=2&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=FoLSqwuBykBWv0R6Db7JsA%3D%3D
"Data Analyst - Seller&Ops, Marketplace (2025 Fresh Graduates)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-seller-ops-marketplace-2025-fresh-graduates-at-shopee-4138890132?position=3&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=fVdSTJOucVgg38xHnKy4Gg%3D%3D
"Data Analyst, Regional BI & Planning (Campus Hiring 2025)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-regional-bi-planning-campus-hiring-2025-at-shopee-4131690000?position=4&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=aaWJW0RJ2%2FXpq6xes%2BmY3w%3D%3D
Data Analyst,foodpanda,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-at-foodpanda-4128097088?position=5&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=gFWeuKBJ9eTfY2Uhc18Tmg%3D%3D
Data Analyst,Nicoll Curtin,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-nicoll-curtin-4179488832?position=6&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=TGINf98hCmDTDMg6%2FSRedg%3D%3D
Business Data Analyst,Wipro,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/business-data-analyst-at-wipro-4184725317?position=7&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=seX6%2B3ZP%2FaRHtkCz9uGgWg%3D%3D
Data Analyst - Traffic & Content (2025 Fresh Graduates),Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-traffic-content-2025-fresh-graduates-at-shopee-4105640095?position=8&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Psj%2BuxhwH1W5lEsvVzuvEQ%3D%3D
"Data Analyst - Business Intelligence, Regional Operations",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-business-intelligence-regional-operations-at-shopee-4086233658?position=9&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Bv7ycCpoxdrJKZc%2BZa6VmQ%3D%3D
Data Analyst,Ascendion,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-ascendion-4171653551?position=10&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Wqso4LEC2W46etZa%2FBoUkA%3D%3D
"Data Analyst Intern, Regional BI & Planning (Summer 2025)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-intern-regional-bi-planning-summer-2025-at-shopee-3840338732?position=11&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=2y%2BpC3i4VTnD63modsUQ5A%3D%3D
"Data Analyst, Singapore",TikTok,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-singapore-at-tiktok-4076510521?position=12&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Yq%2FC51b84Rpd54wshY%2FoRA%3D%3D
Junior Data Analyst,Ascendion,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-at-ascendion-4171653153?position=13&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=oA8%2FJAbqwSLNBfSBmkZ81g%3D%3D
Data Analyst - Search & Recommendation & Ads & Content,Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-search-recommendation-ads-content-at-shopee-4174092543?position=14&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=icfxweDOCZ2%2Fw%2FgaAjHmpA%3D%3D
Data Analyst,Adecco,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-adecco-4183888352?position=15&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=vVnYMv%2Bg46HWbxN86elLfQ%3D%3D
Junior Data Analyst (Contract),Monetary Authority of Singapore (MAS),"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-contract-at-monetary-authority-of-singapore-mas-4184492769?position=16&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=nK5UBiccNa4Tfkg%2Fs6eUTA%3D%3D
Data Analyst - Buyer & Marketing (2025 Fresh Graduates),Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-buyer-marketing-2025-fresh-graduates-at-shopee-4129019507?position=17&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=gMWvk85ztdTCq3QByePBVg%3D%3D
Business Data Analyst,Tata Consultancy Services,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/business-data-analyst-at-tata-consultancy-services-4179485291?position=18&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=oYbPm6aDg5X2U9%2FBmqCTmw%3D%3D
"Associate, Revenue Analytics",Netflix,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/associate-revenue-analytics-at-netflix-4109636163?position=19&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=KaRxzXSicYsDUFfyKKWFgQ%3D%3D
Data Analyst- Coffee,ofi,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-coffee-at-ofi-4181782723?position=20&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=9hsykuRRh6P6JxPSRk5OcA%3D%3D
"Data Analyst, Singapore",TikTok,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-singapore-at-tiktok-4186597666?position=21&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=GI4UpYBT3xIj9MLe83YI8A%3D%3D
Data Analyst,MODEC Offshore Production Systems (Singapore) / Offshore Frontier Solutions,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-modec-offshore-production-systems-singapore-offshore-frontier-solutions-4182557098?position=22&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=3K8wUBTbW2gxt1g%2B3grt8Q%3D%3D
Junior Data Analyst,Capgemini,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-at-capgemini-4133053731?position=23&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=9cQzfJ%2BuS6EdgyJdBitYuA%3D%3D
Data Analyst  (Bank |Up to $8k),Adecco,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-bank-up-to-%248k-at-adecco-4178102356?position=24&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Rp7RUsXjQtx8J%2FuXTFU3lg%3D%3D
Data Analyst - Honkai: Star Rail - Fresh Grad,HoYoverse,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-honkai-star-rail-fresh-grad-at-hoyoverse-3838198465?position=25&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=v5zmcTw76WiC2IbFlslYEw%3D%3D
Data Analyst,Ascendion,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-ascendion-4173378576?position=26&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=gihie3QL5k3irfMeq0BE0g%3D%3D
SG Business Intelligence Associate (Campus Hiring 2025),Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/sg-business-intelligence-associate-campus-hiring-2025-at-shopee-4176622474?position=27&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=6LGXJhxWH07tnqVBJ0lRWQ%3D%3D
Data Analyst,Tundra Technical Solutions,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-tundra-technical-solutions-4179895684?position=28&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=5ytyljLjjACoqF5b4aKNow%3D%3D
"Data Analyst, Global Partnerships Sales Engine",Google,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-global-partnerships-sales-engine-at-google-4183327502?position=29&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=sQ62U%2F4kYZCG8xuBBBmLpQ%3D%3D
"Marketing Analytics, Junior Data Analyst (Campus Hiring 2025)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/marketing-analytics-junior-data-analyst-campus-hiring-2025-at-shopee-4184535841?position=30&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=xV5L7hYOG1Fz%2Bjbf3aVOlw%3D%3D
Data Analyst,Astek,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-astek-4174551198?position=31&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=W6TSOewVu8J1ur%2FlFkXBfg%3D%3D
Data Analyst,Randstad Singapore,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-randstad-singapore-4172255525?position=32&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=EPucKbMwKDPgN6hXeZu9MA%3D%3D
Senior Data Analyst,Tencent,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/senior-data-analyst-at-tencent-4164759454?position=33&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=WO7qK5dyDUSQpHc%2FNAdh6Q%3D%3D
Associate Data Analyst,HIGOGAME PTE. LTD,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/associate-data-analyst-at-higogame-pte-ltd-4165405441?position=34&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=ejZJEu7vj5m35KS3h%2FzheA%3D%3D
Data Analyst | Bank | Contract,Manpower Singapore,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-bank-contract-at-manpower-singapore-4178150605?position=35&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Rtn62iLXpi6vL2%2BAkZfcMA%3D%3D
"Data Analyst, Performance Management",TikTok,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-performance-management-at-tiktok-4165030779?position=36&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=k12BV8b4Bivnc8mSwqiS1A%3D%3D
Insights Analyst III,Riot Games,Singapore,https://sg.linkedin.com/jobs/view/insights-analyst-iii-at-riot-games-4033257373?position=37&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=KIv8GE7v0TWLhildlPOiLg%3D%3D
Senior Data Analyst - Marketplace Product,Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/senior-data-analyst-marketplace-product-at-shopee-3998775467?position=38&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=ByQ93rZUUBsaMXNpyY5cAg%3D%3D
"Data Analyst - Brand Analytics, Regional Brand Partnership",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-brand-analytics-regional-brand-partnership-at-shopee-4151455356?position=39&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=NinpIX2hcUgnTGBKLG75Gw%3D%3D
"User Growth Data Analyst, TikTok",TikTok,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/user-growth-data-analyst-tiktok-at-tiktok-4177801846?position=40&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=iJV0ZJEAPJDifJzL%2Bf19Pg%3D%3D
"Data Analyst Intern - BPM, Regional Operations (Fall 2024/Spring 2025)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-intern-bpm-regional-operations-fall-2024-spring-2025-at-shopee-3996411711?position=41&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=dvV5e6Uqfju1NHHo1G7YlA%3D%3D
Data Analyst (Internship),ShopBack,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-internship-at-shopback-4087114751?position=42&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=fh0I%2BaBYo%2Bmkd1vRLoeX1g%3D%3D
Data Analyst Intern,Rapsodo,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-intern-at-rapsodo-4118502581?position=43&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=9E%2FNzC%2FEufzYGYGfBN1GNA%3D%3D
Data Analysts,Maltem Asia-Pacific,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analysts-at-maltem-asia-pacific-4177225853?position=44&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=AMlzLDjgzQ9Ngie06KVolg%3D%3D
Data Analyst Intern,ADDX,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-intern-at-addx-4129133524?position=45&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=M%2Fhb829VhFSjGG2zt0EA8g%3D%3D
TikTok Shop - Data Analyst Intern - 2025 Start,TikTok,Singapore,https://sg.linkedin.com/jobs/view/tiktok-shop-data-analyst-intern-2025-start-at-tiktok-4076504636?position=46&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=tG8So72xRY%2F8gPoizuSjqA%3D%3D
Junior Data Analyst,StormGeo,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-at-stormgeo-4180220929?position=47&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=UkamcnKNSQm0w%2F8MvcG9Pw%3D%3D
TikTok Shop - Data Analyst Intern - 2025 Start,TikTok,Singapore,https://sg.linkedin.com/jobs/view/tiktok-shop-data-analyst-intern-2025-start-at-tiktok-4078639863?position=48&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Lj3qnNeTuoMo7zokv1zzCg%3D%3D
"Data Analytics/Science Intern, People Tech (May/Jun - Dec 2025)",Temasek,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analytics-science-intern-people-tech-may-jun-dec-2025-at-temasek-4146077373?position=49&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=21JFOybeTQIuG1fF9yV5gQ%3D%3D
Senior Product Data Analyst,Crypto.com,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/senior-product-data-analyst-at-crypto-com-4140441073?position=50&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=GjGqEVGTBTj1YJC5OtXx%2FQ%3D%3D
Data Analyst,SCIENTE,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-sciente-4188851997?position=51&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=lNvAg1T5vh00pkjdeXOQEQ%3D%3D
Business Intelligence Analyst (Operations) - SG Business Intelligence,Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/business-intelligence-analyst-operations-sg-business-intelligence-at-shopee-3763794871?position=52&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=LJjH%2Fhs5t2BD0MPKdqdx3w%3D%3D
Data Analyst,CLPS Global,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-clps-global-4180064197?position=53&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=3uxBVoo%2FjKVzr5fcBFJ7gg%3D%3D
Data Analyst,Goose,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-at-goose-4185440696?position=54&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=pGIE%2FQMU3Vw2QBjLqseMBA%3D%3D
"Data Analytics Intern - Business Intelligence, Regional Operations (Summer 2025)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analytics-intern-business-intelligence-regional-operations-summer-2025-at-shopee-3763092440?position=55&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=zmWJctO1ZFT8T6U1U3HN7A%3D%3D
Data Analyst,Zenika,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-zenika-4185213109?position=56&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=FLiRvlcV9NW%2FMPJQIqoRzw%3D%3D
Data Analyst - Digital Banking,SeaMoney,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-digital-banking-at-seamoney-4183484080?position=57&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=mzAG%2ByT29pBWmleOQ4cMXA%3D%3D
"Data Analyst Intern - Seller Operations, Regional Operations (Spring 2025)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-intern-seller-operations-regional-operations-spring-2025-at-shopee-3731804094?position=58&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=nciCdhuSpJ67Iaw9JfGxLQ%3D%3D
Business Intelligence Analyst - SG Business Intelligence,Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/business-intelligence-analyst-sg-business-intelligence-at-shopee-3953699631?position=59&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=mLr1WEMmQHh%2FOslXkXeGZw%3D%3D
TikTok Shop - Data Analyst,TikTok,Singapore,https://sg.linkedin.com/jobs/view/tiktok-shop-data-analyst-at-tiktok-4086253881?position=60&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=GGzasDQP0juhq%2F3LLzUPFw%3D%3D
